release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
28-Oct-22, Big Mouth , United States , 09/29/2017 , Animation ,7.9,99,6280,season 6 
27-Oct-22, Romantic Killer , Japan , 10/27/2022 , Animation ,7.6,,123,season 1 
27-Oct-22, Dubai Bling , United Arab Emirates , 10/27/2022 , Reality-Show ,3.7,,4788,season 1 
27-Oct-22, Earthstorm , United States , 10/27/2022 , Documentary ,7.2,,20,season 1 
27-Oct-22, Daniel Spellbound , United States , 10/27/2022 , Animation ,6.9,,121,season 1 
27-Oct-22, Family Reunion , United States , 07/10/2019 , Comedy ,6.6,,2047,season 5 
25-Oct-22, Pervert: Hunting the Strip Search Caller , United Kingdom , 10/25/2022 , Documentary , ,,185,season 1 
25-Oct-22, Guillermo del Toro's Cabinet of Curiosities , United States , 10/25/2022 , Horror ,7,93,6322,season 1 
25-Oct-22, MeatEater , United States , 01/01/2012 , Documentary ,7.6,,2,season 11 
24-Oct-22, Bogdan Boner: Egzorcysta , Poland , 12/03/2020 , Animation ,5.9,,211,season 3 
21-Oct-22, 28 Days Haunted , United States , 10/21/2022 , Reality-Show ,3.5,,623,season 1 
21-Oct-22, From Scratch , United States , 10/21/2022 , Drama ,7.9,,14573,season 1 
21-Oct-22, Barbarians , Germany , 10/23/2020 , History ,7.2,86,13124,season 2 
20-Oct-22, Vatican Girl: The Disappearance of Emanuela Orlandi , United States , 10/20/2022 , Documentary ,7.1,,945,season 1 
20-Oct-22, One of Us Is Lying , United States , 10/07/2021 , Crime ,6.9,90,12370,season 2 
20-Oct-22, Inside Amy Schumer , United States , 04/30/2013 , Situation ,7.2,81,,season 5 
19-Oct-22," Notre-Dame, la part du feu ", France , 10/19/2022 , Drama ,5.1,,114,season 1 
19-Oct-22, Gang Zielonej Rękawiczki , Poland , 10/19/2022 , Crime ,6.5,,295,season 1 
19-Oct-22, Love Is Blind , United States , 02/13/2020 , Reality-Show ,4.2,70,34054,season 3 
18-Oct-22, Unsolved Mysteries , United States , 07/01/2020 , Documentary ,7.3,78,10493,season 3 
18-Oct-22, Somebody Feed Phil , United States , 01/12/2018 , Documentary ,8.3,80,49,season 6 
17-Oct-22, Waffles + Mochi's Restaurant , United States , 10/17/2022 , Reality-Show ,7.4,,,season 1 
14-Oct-22, Take 1 , United States , 10/14/2022 , Documentary ,7.5,,12,season 1 
14-Oct-22, Sagrada familia , Spain , 10/14/2022 , Drama ,6.5,,1743,season 1 
14-Oct-22, Tutto chiede salvezza , Italy , 10/14/2022 , Drama ,7.4,,337,season 1 
13-Oct-22, Maestro in Blue , Greece , 10/13/2022 , Drama ,8.4,,1225,season 1 
13-Oct-22, exception , Japan , 10/13/2022 , Animation ,6.5,,,season 1 
13-Oct-22, The Watcher , United States , 10/13/2022 , Mystery ,6.5,56,15699,season 1 
13-Oct-22, Sue Perkins: Perfectly Legal , United Kingdom , 10/13/2022 , Documentary ,6.7,,,season 1 
13-Oct-22, The Playlist , Sweden , 10/13/2022 , Drama ,7.5,100,1011,season 1 
13-Oct-22, Dead End: Paranormal Park , United Kingdom , 06/16/2022 , Animation ,6.9,,12,season 2 
12-Oct-22, Easy-Bake Battle: The Home Cooking Competition , United States , 10/12/2022 , Reality-Show ,6.3,,58,season 1 
11-Oct-22, Iliza Shlesinger: Hot Forever , United States , 10/11/2022 , Record ,6.6,,,
